ID,Date and Time,Title,Description,Tag,Priority,Status,Reminder Time
1,2023-11-01 20:42,task1,desc1,tag1,Low,False,2023-12-10 22:26
3,2023-11-06 20:43,task3,desc3,tag3,High,False,
4,2023-11-07 23:22,Test,test,TestTag,Low,False,2023-11-16 23:22
5,2023-11-02 01:59,Test,Test,,Low,True,2023-11-02 03:00
6,2023-11-02 02:01,Test Title,Test Description,,Low,True,2023-11-02 02:01
7,2023-11-02 02:01,Test Title,Test Description,,Low,True,2023-11-02 02:29
8,2023-11-05 22:45,Labtainers,Complete labtainers for digital forensics,tag1,High,False,2023-11-05 21:30
11,2023-11-03 08:00,work,work at fs1,2,Medium,True,2023-11-03 07:30
12,,,,,Low,True,2023-11-09 19:51
13,,kurt,kurt,,Low,True,
14,,kurt,kurt,,Low,True,
15,,kurt,kurt,,Low,False,
16,,kurt,kurt,,Low,False,
17,,kurt,kurt,,Low,False,
18,,kurt,kurt,,Low,False,
19,2023-11-23 14:47,task2,desc2,,Low,False,
20,,task1complete,desc1complete,tag1complete,Low,True,
21,,task2complete,desc2complete,tag2complete,Medium,True,
22,,task3complete,desc3compelete,tag3complete,High,True,
